USER_ID,PERSON_ID,EMAIL,NAME_PREFIX,FIRST_NAME,MI_NAME,LAST_NAME,NAME_SUFFIX,STATUS_CODE,STATUS_DESCRIP,ACCOUNT_CREATED_DATE,ACCOUNT_UPDATED_DATE,ACCOUNT_LAST_LOGIN_DATE,LAST_UPDATED_DATE,LAST_UPDATED_DAY,ORG_ID,ORG_NAME
PULLMANR54,78186888,PullmanR54@cancer.com,,Rachel,,Pullman,,1,Active,05/25/2021 14:01:51,,,05/25/2021 14:01:51,2021-05-25,846901,ALABAMA STATE UNIVERSITY
GRAYD70,78186889,GrayD70@cancer.com,,Dan,,Gray,,4,Pending Affiliation,05/25/2021 14:02:41,05/25/2021 14:14:51,05/25/2021 14:14:32,05/25/2021 14:14:51,2021-05-25,846901,ALABAMA STATE UNIVERSITY
QUINNR21,78178351,QuinnR21@cancer.com,,Richard,,Quinn,,1,Active,05/19/2021 12:21:48,,,05/19/2021 12:21:48,2021-05-19,10051192,"ARUNDEL LODGE, INC."
LEWISC62,78186945,LewisC62@cancer.com,,Chloe,,Lewis,,1,Active,05/25/2021 14:16:39,05/25/2021 14:38:32,05/25/2021 14:38:32,05/25/2021 14:38:32,2021-05-25,846901,ALABAMA STATE UNIVERSITY
STEWARTC20,78157576,StewartC20@cancer.com,,Charles,,Stewart,,1,Active,05/25/2021 18:12:31,05/25/2021 18:21:23,05/25/2021 18:19:36,05/25/2021 18:21:23,2021-05-25,2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH
ALSOPF47,78181418,AlsopF47@cancer.com,,Frank,,Alsop,,1,Active,05/21/2021 10:32:12,05/27/2021 08:50:45,05/27/2021 08:50:45,05/27/2021 08:50:45,2021-05-27,10065562,EVANSVILLE FIRE DEPARTMENT
CORNISHD27,78178116,CornishD27@cancer.com,,Diana,Feh,Cornish,,1,Active,05/19/2021 09:57:10,05/21/2021 21:04:56,05/21/2021 21:04:56,05/21/2021 21:04:56,2021-05-21,10065443,"KIRSTIN'S HAVEN, INC."
MARSHALLJ59,78191566,MarshallJ59@cancer.com,,Jonathan,,Marshall,,1,Active,05/27/2021 13:01:23,,,05/27/2021 13:01:23,2021-05-27,3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
ALLANR1,78172779,AllanR1@cancer.com,,Rebecca,,Allan,,1,Active,05/14/2021 12:54:42,05/14/2021 18:10:04,05/14/2021 17:33:37,05/14/2021 18:10:04,2021-05-14,578503,UNIVERSITY OF WISCONSIN-MADISON
WRIGHTA47,78186905,WrightA47@cancer.com,,Austin,,Wright,,1,Active,05/25/2021 14:04:31,05/25/2021 14:14:33,05/25/2021 14:14:33,05/25/2021 14:14:33,2021-05-25,846901,ALABAMA STATE UNIVERSITY
ROBERTSONB50,78187365,RobertsonB50@cancer.com,,Brian,,Robertson,,1,Active,05/25/2021 15:43:18,05/27/2021 11:43:00,05/27/2021 11:43:00,05/27/2021 11:43:00,2021-05-27,5992612,STATE UNIVERSITY NEW YORK STONY BROOK
MACLEODW49,78191242,MacLeodW49@cancer.com,,William,,MacLeod,,1,Active,05/27/2021 10:40:35,,,05/27/2021 10:40:35,2021-05-27,10065522,"CLARA WHITE MISSION, INC."
TUCKERA42,78191240,TuckerA42@cancer.com,,Alexandra,,Tucker,,1,Active,05/27/2021 10:39:10,,,05/27/2021 10:39:10,2021-05-27,10065522,"CLARA WHITE MISSION, INC."
TURNERS71,78172842,TurnerS71@cancer.com,,Sarah,,Turner,,1,Active,05/14/2021 13:38:43,05/14/2021 14:31:33,05/14/2021 14:31:33,05/14/2021 14:31:33,2021-05-14,10050689,PEACE RIVER CENTER FOR PERSONAL DEVELOPMENT INC
PETERSC20,78186906,PetersC20@cancer.com,,Cameron,,Peters,,1,Active,05/25/2021 14:05:57,05/25/2021 16:52:07,05/25/2021 16:52:07,05/25/2021 16:52:07,2021-05-25,846901,ALABAMA STATE UNIVERSITY
MACDONALDJ44,78186916,MacDonaldJ44@cancer.com,,Jason,,MacDonald,,1,Active,05/25/2021 14:09:15,,,05/25/2021 14:09:15,2021-05-25,846901,ALABAMA STATE UNIVERSITY
MCLEANK32,78178002,McLeanK32@cancer.com,,Katherine,,McLean,,1,Active,05/19/2021 08:30:24,05/19/2021 16:39:12,05/19/2021 16:39:12,05/19/2021 16:39:12,2021-05-19,6555001,UNIVERSITY OF PISA
PULLMANB47,78180577,PullmanB47@cancer.com,,Brandon,Simone,Pullman,,1,Active,05/20/2021 16:58:20,05/24/2021 13:34:27,05/24/2021 13:33:05,05/24/2021 13:34:27,2021-05-24,513614,SAN DIEGO STATE UNIVERSITY
RANDALLB24,78170724,RandallB24@cancer.com,Dr,Bella,,Randall,,1,Active,05/13/2021 11:51:02,05/13/2021 12:01:34,05/13/2021 11:58:53,05/13/2021 12:01:34,2021-05-13,2221101,DUKE UNIVERSITY
MAYL2,78178669,MayL2@cancer.com,,Leah,,May,,1,Active,05/19/2021 15:19:38,05/25/2021 08:39:59,05/25/2021 08:39:59,05/25/2021 08:39:59,2021-05-25,4276901,GENEVA FOUNDATION
POWELLR49,78170247,PowellR49@cancer.com,,Richard,,Powell,,1,Active,05/13/2021 08:01:49,05/19/2021 10:12:09,05/19/2021 10:12:09,05/19/2021 10:12:09,2021-05-19,2221101,DUKE UNIVERSITY
HAMILTONS1,78169483,HamiltonS1@cancer.com,,Sue,,Hamilton,,1,Active,05/12/2021 15:59:14,,,05/12/2021 15:59:14,2021-05-12,902501,BOWDOIN COLLEGE
SHARPK61,78179017,SharpK61@cancer.com,,Katherine,,Sharp,,1,Active,05/19/2021 21:07:46,05/20/2021 02:36:31,05/20/2021 02:36:31,05/20/2021 02:36:31,2021-05-20,5905701,UNIVERSITY OF NEW SOUTH WALES
BLACKA92,78172752,BlackA92@cancer.com,Dr,Anne,,Black,,1,Active,05/14/2021 12:33:20,05/14/2021 15:15:18,05/14/2021 15:05:36,05/14/2021 15:15:18,2021-05-14,1833205,COLUMBIA UNIVERSITY HEALTH SCIENCES
MACKAYC21,78180252,MackayC21@cancer.com,Mr,Christopher,,Mackay,,1,Active,05/20/2021 14:23:27,05/20/2021 15:53:57,05/20/2021 15:50:26,05/20/2021 15:53:57,2021-05-20,1450402,UNIVERSITY OF MINNESOTA
FORSYTHO86,78174352,ForsythO86@cancer.com,,Owen,C.,Forsyth,,1,Active,05/17/2021 10:43:43,05/17/2021 11:09:25,05/17/2021 11:09:25,05/17/2021 11:09:25,2021-05-17,513806,UNIVERSITY OF FLORIDA
